"",,,,,,,SMH,,,,,,
PRIMARY UNITS,,,,,,,,,,,,,
"",01,02,03,04,05,06,07,08,09,10,10N,11,TOTAL
BG,6742000,14578000,6283000,14450000,8147000,17939000,31797000,26115000,6820000,6553100,-531100,4290000,143183000
BG(SL),6522045,13707039,6068842,13574569,7747596,17281934,31084589,25229920,6418586,6183106,-531100,4290000,137577126
ACT,4515302,10604144,3727555,10868147,6080245,13693979,23370915,23012466,5442826,4767546,7552005,2842770,116477899
01 - CR COPPY,4563924,10262278,4115250,9923658,5928891,12747133,24482522,18855318,5424969,4177139,7356686,2743028,110580797
ACT-COPPY,-48623,341866,-387695,944489,151353,946846,-1111607,4157147,17857,590408,195319,99742,5897101
BUD PROP,4879564,10329019,4551250,10138036,5817503,12989571,26731384,18913302,5106185,4633144,6514820,3220977,113824755
ACT-BP,-364262,275125,-823695,730111,262742,704408,-3360469,4099164,336641,134402,1037185,-378207,2653144
BG,9387000,11633000,5019000,18596000,7820000,13241000,15230000,13621000,6445000,8425090,44910,3860000,113322000
BG(SL),9129372,11063681,4873230,17616659,7495303,13133722,14375950,13158100,6051407,8085609,44910,3860000,108887943
ACT,5567682,8019858,3097173,12266613,5440420,9342495,12412757,11896618,4498875,5007989,556804,3056820,81164104
02 - ER COPPY,6182999,8096827,3248521,12598392,5419103,9056795,11439915,10460695,4748973,4839607,417528,2934144,79443499
ACT-COPPY,-615317,-76969,-151348,-331778,21318,285700,972842,1435923,-250098,168382,139276,122676,1720606
BUD PROP,6749854,8508061,3746203,13147278,5755549,9862056,14134720,9586424,4714389,5811160,37500,2915000,84968194
ACT-BP,-1182172,-488203,-649030,-880665,-315129,-519561,-1721963,2310194,-215514,-803171,519304,141820,-3804090
BG,9628000,18307000,9209000,22600000,9565000,20177000,48611000,29368000,10176000,12999172,-70172,6291000,196861000
BG(SL),9290500,17400800,9027337,21748895,9090900,19401296,47755100,28082700,9690400,12005372,-70172,6291000,189714128
ACT,6002725,12561374,7007447,15909230,7762717,15928245,35162661,26690513,7725133,9071363,10495127,4224423,158540958
03 - NR COPPY,6474372,12625047,6033232,15171562,6659188,14101405,29652501,24028139,7401477,8112351,8262638,4503182,143025095
ACT-COPPY,-471647,-63673,974214,737668,1103529,1826841,5510160,2662374,323656,959012,2232489,-278759,15515864
BUD PROP,6374187,12382187,6406394,14811628,7307179,13723214,38040709,19853080,7167063,9162297,7488646,4264818,146981402
ACT-BP,-371462,179187,601053,1097602,455538,2205031,-2878048,6837433,558070,-90934,3006481,-40395,11559556
BG,4887000,7021000,1323000,6383000,3722000,5800000,13142000,6249000,3816000,4148199,-109199,2150000,58532000
