Sr.No.,Bank,Challan No.,Challan Date,Challan Amt,ACC Unit,TC Number
1.0,S B I BABINA CANT,76638,23-DEC-19,72830.0,NCR JHS 03,321102001100608.0
2.0,S B I BABINA CANT,76639,23-DEC-19,76450.0,NCR JHS 03,321102001100608.0
3.0,S B I BABINA CANT,76640,24-DEC-19,70550.0,NCR JHS 03,321102001100608.0
4.0,S B I BABINA CANT,76641,26-DEC-19,65100.0,NCR JHS 03,321102001100608.0
5.0,S B I BABINA CANT,76643,26-DEC-19,41545.0,NCR JHS 03,321102001100608.0
6.0,S B I BABINA CANT,76643,27-DEC-19,53485.0,NCR JHS 03,321102001100608.0
7.0,S B I BABINA CANT,76644,30-DEC-19,79020.0,NCR JHS 03,321102001100608.0
8.0,S B I BABINA CANT,76645,30-DEC-19,90617.0,NCR JHS 03,321102001100608.0
9.0,S B I BABINA CANT,76646,30-DEC-19,47575.0,NCR JHS 03,321102001100608.0
10.0,S B I BABINA CANT,76647,31-DEC-19,91995.0,NCR JHS 03,321102001100608.0
11.0,S B I BABINA CANT,76648,01-JAN-20,41000.0,NCR JHS 03,321102001100608.0
12.0,S B I BABINA CANT,76649,02-JAN-20,72345.0,NCR JHS 03,321102001100609.0
13.0,S B I BABINA CANT,76650,03-JAN-20,64415.0,NCR JHS 03,321102001100609.0
14.0,S B I KARWI ,79222,23-DEC-19,258175.0,NCR JHS 03,321102001100608.0
15.0,S B I KARWI ,79223,23-DEC-19,293863.0,NCR JHS 03,321102001100608.0
16.0,S B I KARWI ,79224,23-DEC-19,240321.0,NCR JHS 03,321102001100608.0
17.0,S B I KARWI ,79225,24-DEC-19,294475.0,NCR JHS 03,321102001100608.0
18.0,S B I KARWI ,79226,26-DEC-19,281122.0,NCR JHS 03,321102001100608.0
19.0,S B I KARWI ,79227,26-DEC-19,296111.0,NCR JHS 03,321102001100608.0
20.0,S B I KARWI ,79228,27-DEC-19,330920.0,NCR JHS 03,321102001100608.0
21.0,S B I KARWI ,79229,30-DEC-19,194821.0,NCR JHS 03,321102001100608.0
22.0,S B I KARWI ,79230,30-DEC-19,204769.0,NCR JHS 03,321102001100608.0
23.0,S B I KARWI ,79231,30-DEC-19,189506.0,NCR JHS 03,321102001100608.0
24.0,S B I KARWI ,79232,31-DEC-19,189580.0,NCR JHS 03,321102001100608.0
25.0,S B I KARWI ,79233,01-JAN-20,137447.0,NCR JHS 03,321102001100609.0
26.0,S B I KARWI ,79234,02-JAN-20,186871.0,NCR JHS 03,321102001100609.0
27.0,S B I KARWI ,79235,03-JAN-20,208866.0,NCR JHS 03,321102001100609.0
28.0,S B I KARWI ,79236,04-JAN-20,257446.0,NCR JHS 03,321102001100609.0
29.0,S B I KARWI ,79237,06-JAN-20,268605.0,NCR JHS 03,321102001100609.0
30.0,S B I KARWI ,79238,06-JAN-20,190660.0,NCR JHS 03,321102001100609.0
31.0,S B I KARWI ,79239,07-JAN-20,263061.0,NCR JHS 03,321102001100609.0
32.0,S B I KARWI ,79240,08-JAN-20,214103.0,NCR JHS 03,321102001100609.0
33.0,S B I KARWI ,79241,09-JAN-20,219611.0,NCR JHS 03,321102001100609.0
34.0,S B I KARWI ,79242,10-JAN-20,223203.0,NCR JHS 03,321102001100609.0
35.0,S B I KARWI ,79243,13-JAN-20,275017.0,NCR JHS 03,321102001100652.0
36.0,S B I KARWI ,79244,13-JAN-20,199288.0,NCR JHS 03,321102001100652.0
37.0,S B I KARWI ,79245,13-JAN-20,162885.0,NCR JHS 03,321102001100652.0
38.0,S B I KARWI ,79246,14-JAN-20,168567.0,NCR JHS 03,321102001100652.0
39.0,S B I KARWI ,79247,15-JAN-20,164859.0,NCR JHS 03,321102001100652.0
40.0,S B I KARWI ,79248,16-JAN-20,275466.0,NCR JHS 03,321102001100652.0
41.0,S B I KARWI ,79249,17-JAN-20,304889.0,NCR JHS 03,321102001100652.0
42.0,S B I KARWI ,79250,18-JAN-20,330552.0,NCR JHS 03,321102001100652.0
43.0,S B I KARWI ,79251,20-JAN-20,325923.0,NCR JHS 03,321102001100652.0
44.0,S B I KARWI ,79252,20-JAN-20,298693.0,NCR JHS 03,321102001100652.0
45.0,S B I  DABRA ,81942,08-JUL-19,4736000.0,NCR JHS 03,321102001100608.0
46.0,S B I  MORENA ,85250,21-DEC-19,352860.0,NCR JHS 03,321102001100608.0
47.0,S B I  MORENA ,109266,21-DEC-19,18144.0,NCR JHS 03,321102001100608.0
48.0,S B I  MORENA ,109267,21-DEC-19,50000.0,NCR JHS 03,321102001100608.0
49.0,S B I  MORENA ,109268,23-DEC-19,50000.0,NCR JHS 03,321102001100608.0
50.0,S B I  MORENA ,109270,24-DEC-19,1525000.0,NCR JHS 03,321102001100608.0
51.0,S B I  MORENA ,109271,21-DEC-19,15272.0,NCR JHS 03,321102001100608.0
52.0,S B I  MORENA ,109272,24-DEC-19,150000.0,NCR JHS 03,321102001100608.0
53.0,S B I  MORENA ,109273,26-DEC-19,4500000.0,NCR JHS 03,321102001100608.0
54.0,S B I  MORENA ,109274,26-DEC-19,657.0,NCR JHS 03,321102001100608.0
55.0,S B I  MORENA ,109275,30-DEC-19,1350.0,NCR JHS 03,321102001100608.0
56.0,S B I  MORENA ,109276,02-JAN-20,50000.0,NCR JHS 03,321102001100608.0
57.0,S B I  MORENA ,109277,02-JAN-20,4673985.0,NCR JHS 03,321102001100608.0
58.0,S B I  MORENA ,109278,03-JAN-20,50000.0,NCR JHS 03,321102001100652.0
59.0,S B I  MORENA ,109279,07-JAN-20,50000.0,NCR JHS 03,321102001100652.0
60.0,S B I  MORENA ,109280,08-JAN-20,50000.0,NCR JHS 03,321102001100652.0
61.0,S B I  MORENA ,109281,08-JAN-20,7152455.0,NCR JHS 03,321102001100652.0
62.0,S B I  MORENA ,109282,06-JAN-20,5.0,NCR JHS 03,321102001100652.0
63.0,S B I  MORENA ,109283,08-JAN-20,4675000.0,NCR JHS 03,321102001100652.0
64.0,S B I  MORENA ,109284,06-JAN-20,835.0,NCR JHS 03,321102001100652.0
65.0,S B I  MORENA ,109285,09-JAN-20,650000.0,NCR JHS 03,321102001100652.0
66.0,S B I  MORENA ,109286,07-JAN-20,485.0,NCR JHS 03,321102001100652.0
67.0,S B I  MORENA ,109287,10-JAN-20,50000.0,NCR JHS 03,321102001100652.0
68.0,S B I  MORENA ,109301,23-DEC-19,453875.0,NCR JHS 03,321102001100608.0
69.0,S B I  MORENA,109302,23-DEC-19,407880.0,NCR JHS 03,321102001100608.0
70.0,S B I  MORENA,109303,24-DEC-19,498315.0,NCR JHS 03,321102001100608.0
71.0,S B I  MORENA,109304,26-DEC-19,410890.0,NCR JHS 03,321102001100608.0
72.0,S B I  MORENA,109305,26-DEC-19,480490.0,NCR JHS 03,321102001100608.0
73.0,S B I  MORENA,109306,27-DEC-19,328645.0,NCR JHS 03,321102001100608.0
74.0,S B I  MORENA,109307,30-DEC-19,345590.0,NCR JHS 03,321102001100608.0
