Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
1,DD945808,24-OCT-11,24101164,150
2,11306405893,09-NOV-11,0911117298,17121
3,SDL665290,19-JUL-12,19071264,84388
4,N2011300120,30-JUN-11,NEFT1,300
5,AMENDED02/12,29-FEB-12,NEFT3,10400
6,AMENDED02,29-FEB-12,NEFT3,41912
7,259985,10-APR-13,100413,259985
8,SD121168824,20-MAY-11,200511602,50000
9,252143,11-AUG-11,,5560
10,IGD4112395,15-OCT-12,151012105,315273
11,N2012300885,31-MAR-13,NEFT,-475816
12,N2012300887,31-MAR-13,NEFT,-1864921
13,N2012300892,31-MAR-13,NEFT,-36433892
14,IGD3905785,13-OCT-12,131012105,281420
15,IKO21151346,22-OCT-12,221012105,293046
16,IGD3921956,13-OCT-12,131012105,343989
17,IGD6554348,29-OCT-12,291012105,227250
18,IKO11098963549,09-APR-11,09041164,379308
19,SD120165102,27-APR-11,27041164,170920
20,11118484750,02-MAY-11,020511602,12726
21,SD119733999,18-APR-11,180411602,232674
22,NEFT1,02-JUL-11,020711602,18457
23,NEFT2,02-JUL-11,020711602,150665
24,NEFT3,02-JUL-11,020711602,150290
25,N111266528,09-JUL-11,0907117298,1638728
26,SD122567029,25-JUN-11,2506117298,60000
27,SD122567142,25-JUN-11,2506117298,60000
28,392961,22-JUN-11,22061164,1178158
29,392986,23-JUL-11,23071164,385293
30,IKO11207430074,28-JUL-11,28071164,18582
31,nh11328468305,29-NOV-11,2911117298,60000
32,DD868821,24-OCT-11,24101164,150
33,DD778203,24-OCT-11,24101164,150
34,DD108431,24-OCT-11,24101164,150
35,PIB112844629017,15-OCT-11,151011602,6138
36,DD219157,24-OCT-11,24101164,150
37,12077242668,22-MAR-12,220312602,18127
38,17916,02-NOV-11,021111602,17916
39,93,29-APR-11,290411602,93
40,DD648831,24-OCT-11,24101164,150
41,563390,13-SEP-12,1309122625,40784
42,DD184350,24-OCT-11,24101164,150
43,DD519848,24-OCT-11,24101164,150
44,CP84708470617,21-NOV-11,2111117298,1407
45,IKO21515156,03-NOV-12,03111264,1514358
46,DD038591,04-NOV-11,04111164,150
47,IKO18932401,01-AUG-12,01081264,1345888
48,IBKL0000303,15-APR-11,150411602,1625
49,IKO11099131790,13-APR-11,13041164,50000
50,11365108596,05-JAN-12,0501127298,25000
51,DD428716,24-OCT-11,24101164,150
52,DD403531,24-OCT-11,24101164,150
53,DD953045,24-OCT-11,24101164,150
54,DD278270,24-OCT-11,24101164,150
55,DD831765,03-NOV-11,03111164,150
56,4430,29-NOV-11,291111602,4430
57,35783,02-NOV-11,021111602,35783
58,DD678718,03-NOV-11,03111164,150
59,DD042881,24-OCT-11,24101164,150
60,DL1178588,04-JAN-13,040113105,1003
61,NEFT,28-APR-13,280413,-15198667
62,N12171974142,30-JUN-12,NEFT2,-671766
63,41927,11-DEC-12,226219,41927
64,3582,24-MAR-13,3582,3582
65,N12034365667,31-MAR-12,NEFT3,-79253
66,N12090172452,31-MAR-12,NEFT4,-1833523
67,N2012300002,30-APR-12,NEFT 1,-3440881
68,642310,06-MAR-13,060313105,11510
69,N11319617302,31-JAN-12,NEFT2,-167000
70,N11319634823,31-JAN-12,NEFT2,-17295
71,N2012300424,30-SEP-12,NEFT1,24724
72,N11319634826,31-JAN-12,NEFT2,-12695
73,DD929984,24-OCT-11,24101164,150
74,N2011300789,29-FEB-12,NEFT1,-10863391
75,n12091314761,31-MAR-12,NEFT5,-30000
76,N12083025718,31-MAR-12,NEFT6,-305725
77,YFFJKHGGK,31-MAR-12,NEFT2,-15050
78,41912,31-MAR-12,NEFT7,-41912
79,10400,31-MAR-12,NEFT8,-10400
80,N2012300073,31-MAY-12,NEFT1,-3328832
81,N12159231354,30-JUN-12,NEFT1,-12595265
82,N11319634827,31-JAN-12,NEFT2,-20946
83,N11309789287,31-JAN-12,NEFT2,-1092
84,N11309789289,31-JAN-12,NEFT2,-70262
85,N11309789290,31-JAN-12,NEFT2,-10442
86,N11294762033,31-JAN-12,NEFT2,-60000
87,N11333874797,31-JAN-12,NEFT2,-16348
88,N11328432174,31-JAN-12,NEFT2,-20648
89,N11328432176,31-JAN-12,NEFT2,-12905
90,N11330664040000,31-JAN-12,NEFT2,-25000
91,N11326195472,31-JAN-12,NEFT2,-2953
92,N11362454179,31-JAN-12,NEFT2,-1941780
93,N11356816908,31-JAN-12,NEFT2,-32263
94,N11363619329,31-JAN-12,NEFT2,-32364
95,N12006010869,31-JAN-12,NEFT2,-320056
96,N11365103945,31-JAN-12,NEFT2,-244159
97,N12006010868,31-JAN-12,NEFT2,-261946
98,N11207430065,31-JAN-12,NEFT2,-55519
99,N11218940957,31-JAN-12,NEFT2,-295606
100,N11218940955,31-JAN-12,NEFT2,-133499
101,N11218940954,31-JAN-12,NEFT2,-15409
102,N11218940635,31-JAN-12,NEFT2,-11394
103,N11342493554,31-JAN-12,NEFT2,-88200
104,N11202078080,31-JAN-12,NEFT2,-3015
105,N11222354931,31-JAN-12,NEFT2,-12294
106,N12006010866,31-JAN-12,NEFT2,-103123
107,N1202078079,31-JAN-12,NEFT2,-981
108,N12006010865,31-JAN-12,NEFT2,-19816
109,N11365103748,31-JAN-12,NEFT2,-50000
110,N1280406788,31-JAN-12,NEFT2,-245315
111,N11365103736,31-JAN-12,NEFT2,-39000
112,N11210788377,31-JAN-12,NEFT2,-80666
113,N11109824571,31-JAN-12,NEFT2,-13381
114,N11109824499,31-JAN-12,NEFT2,-13006
115,N11109824572,31-JAN-12,NEFT2,-12133
