Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt,Match,Match_Num,Chalan_Dates
1,93,29-04-2011,290411602,93,,0,
2,427,25-03-2011,250311105,427,,0,
3,150,17-08-2013,170813,150,,0,
4,14900,17-08-2013,170813,14900,,0,
5,1800,26-09-2016,260916,1800,,0,
6,1775,22-09-2016,220916,1775,,0,
7,545,16-09-2016,160916,545,,0,
8,1515,23-09-2016,230916,1515,,0,
9,2315,06-10-2016,61016,2315,,0,
10,103442,15-10-2016,151016,103442,,0,
11,54590,01-10-2016,11016,54590,,0,
12,2200,17-11-2016,171116,2200,,0,
13,5350,28-11-2016,281116,5350,,0,
14,1000,29-11-2016,291116,1000,,0,
15,2000,29-11-2016,291116,2000,,0,
16,73530,22-11-2016,221116,6426,,0,
17,7232,22-12-2016,221216,7232,,0,
18,577494,09-12-2016,91216,655,,0,
19,3300,15-12-2016,151216,3300,,0,
20,8640,09-12-2016,91216,8640,,0,
21,2875,16-12-2016,161216,2875,,0,
22,33705,06-12-2016,61216,33705,,0,
23,40971,21-12-2016,211216,4320,,0,
24,1775,04-01-2017,40117,1775,,0,
25,695,03-01-2017,30117,695,,0,
26,5290,07-01-2017,70117,5290,,0,
27,4945,10-01-2017,100117,4945,,0,
28,1235,10-01-2017,100117,1235,,0,
29,24090,11-01-2017,110117,319906,,0,
30,6335,16-01-2017,160117,6335,,0,
31,2500,01-01-2017,10117,2500,,0,
32,A2500,01-01-2017,10117,2500,,0,
33,740,06-01-2017,60117,740,,0,
34,4222,09-01-2017,90117,4222,,0,
35,3355,09-01-2017,90117,3355,,0,
36,575,09-01-2017,90117,575,,0,
37,16010,25-01-2017,250117,16010,,0,
38,6355,11-01-2017,110117,6355,,0,
39,1115,11-01-2017,110117,1115,,0,
40,1645,11-01-2017,110117,1645,,0,
41,1690,03-01-2017,30117,1690,,0,
42,700,07-01-2017,70117,700,,0,
43,5380,13-01-2017,130117,5380,,0,
44,5000,12-01-2017,120117,5000,,0,
45,110,12-01-2017,120117,110,,0,
46,4775,12-01-2017,120117,4775,,0,
47,1145,12-01-2017,120117,1145,,0,
48,23376,29-12-2016,291216,23376,,0,
49,1070,13-01-2017,130117,1070,,0,
50,5590,13-01-2017,130117,5590,,0,
51,4010,31-01-2017,310117,4010,,0,
52,2180,20-01-2017,200117,2180,,0,
53,30,19-01-2017,190117,2500,,0,
54,24585,27-01-2017,270117,751005,,0,
55,6315,27-01-2017,270117,6315,,0,
56,4955,24-01-2017,240117,4955,,0,
57,6860,24-01-2017,240117,6860,,0,
58,24908,18-01-2017,180117,365581,,0,
59,14657,16-01-2017,160117,14657,,0,
60,5,17-01-2017,170117,2500,,0,
61,6,17-01-2017,170117,2500,,0,
62,10,17-01-2017,170117,2500,,0,
63,675,18-01-2017,180117,675,,0,
64,1555,18-01-2017,180117,1555,,0,
65,575,01-02-2017,10217,575,,0,
66,86625,20-01-2017,200117,86625,,0,
67,40,20-01-2017,200117,5000,,0,
68,45,20-01-2017,200117,5350,,0,
69,46,20-01-2017,200117,2500,,0,
70,16,18-01-2017,180117,2500,,0,
71,18,18-01-2017,180117,2500,,0,
72,20,18-01-2017,180117,2500,,0,
73,816343,01-02-2017,10217,1965,,0,
74,60,21-01-2017,210117,5000,,0,
75,1780,18-01-2017,180117,1780,,0,
76,1560,20-02-2017,200217,725,,0,
