Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
1,93,29-Apr-11,290411602,93
2,427,25-Mar-11,250311105,427
3,150,17-Aug-13,170813,150
4,14900,17-Aug-13,170813,14900
5,1800,26-Sep-16,260916,1800
6,1775,22-Sep-16,220916,1775
7,545,16-Sep-16,160916,545
8,1515,23-Sep-16,230916,1515
9,2315,06-Oct-16,61016,2315
10,103442,15-Oct-16,151016,103442
11,54590,01-Oct-16,11016,54590
12,2200,17-Nov-16,171116,2200
13,5350,28-Nov-16,281116,5350
14,1000,29-Nov-16,291116,1000
15,2000,29-Nov-16,291116,2000
16,73530,22-Nov-16,221116,6426
17,7232,22-Dec-16,221216,7232
18,577494,09-Dec-16,91216,655
19,3300,15-Dec-16,151216,3300
20,8640,09-Dec-16,91216,8640
21,2875,16-Dec-16,161216,2875
22,33705,06-Dec-16,61216,33705
23,40971,21-Dec-16,211216,4320
24,1775,04-Jan-17,40117,1775
25,695,03-Jan-17,30117,695
26,5290,07-Jan-17,70117,5290
27,4945,10-Jan-17,100117,4945
28,1235,10-Jan-17,100117,1235
29,24090,11-Jan-17,110117,319906
30,6335,16-Jan-17,160117,6335
31,2500,01-Jan-17,10117,2500
32,A2500,01-Jan-17,10117,2500
33,740,06-Jan-17,60117,740
34,4222,09-Jan-17,90117,4222
35,3355,09-Jan-17,90117,3355
36,575,09-Jan-17,90117,575
37,16010,25-Jan-17,250117,16010
38,6355,11-Jan-17,110117,6355
39,1115,11-Jan-17,110117,1115
40,1645,11-Jan-17,110117,1645
41,1690,03-Jan-17,30117,1690
42,700,07-Jan-17,70117,700
43,5380,13-Jan-17,130117,5380
44,5000,12-Jan-17,120117,5000
45,110,12-Jan-17,120117,110
46,4775,12-Jan-17,120117,4775
47,1145,12-Jan-17,120117,1145
48,23376,29-Dec-16,291216,23376
49,1070,13-Jan-17,130117,1070
50,5590,13-Jan-17,130117,5590
51,4010,31-Jan-17,310117,4010
52,2180,20-Jan-17,200117,2180
53,30,19-Jan-17,190117,2500
54,24585,27-Jan-17,270117,751005
55,6315,27-Jan-17,270117,6315
56,4955,24-Jan-17,240117,4955
57,6860,24-Jan-17,240117,6860
58,24908,18-Jan-17,180117,365581
59,14657,16-Jan-17,160117,14657
60,5,17-Jan-17,170117,2500
61,6,17-Jan-17,170117,2500
62,10,17-Jan-17,170117,2500
63,675,18-Jan-17,180117,675
64,1555,18-Jan-17,180117,1555
65,575,01-Feb-17,10217,575
66,86625,20-Jan-17,200117,86625
67,40,20-Jan-17,200117,5000
68,45,20-Jan-17,200117,5350
69,46,20-Jan-17,200117,2500
70,16,18-Jan-17,180117,2500
71,18,18-Jan-17,180117,2500
72,20,18-Jan-17,180117,2500
73,816343,01-Feb-17,10217,1965
74,60,21-Jan-17,210117,5000
75,1780,18-Jan-17,180117,1780
76,1560,20-Feb-17,200217,725
77,49083,14-Feb-17,140217,7035
78,560,22-Feb-17,220217,560
79,21865,13-Feb-17,130217,21865
80,134747,20-Feb-17,200217,134747
81,1445,07-Feb-17,70217,1445
82,5705,22-Feb-17,220217,5705
83,2675,20-Feb-17,200217,2675
84,4205,20-Feb-17,200217,4205
85,4875,20-Feb-17,200217,4875
86,20600,20-Feb-17,200217,20600
87,5905,20-Feb-17,200217,5905
88,1835,04-Feb-17,40217,1835
89,1775,15-Feb-17,150217,1775
90,2175,15-Feb-17,150217,2175
91,7515,07-Feb-17,70217,7515
92,1770,08-Feb-17,80217,1770
93,133867,15-Feb-17,150217,133867
94,5760,08-Mar-17,80317,5760
