Sr.No.,Bank,Challan No.,Challan Date,Challan Amt,ACC Unit,TC Number
1,S B I  ALLAHABAD,.NH21252524600,13-Sep-21,1575393.3,NCR AGC 04,3.20402E+14
2,SBI GOVERDHAN,2,12-Jan-22,820,NCR AGC 04,3.21102E+14
3,S B I  LALITPUR,2,09-Aug-21,130,NCR JHS 03,3.21102E+14
4,SBI GOVERDHAN,3,13-Jan-22,730,NCR AGC 04,3.21102E+14
5,S B I  LALITPUR,3,09-Aug-21,125,NCR JHS 03,3.21102E+14
6,S B I  LALITPUR,6,12-Aug-21,515,NCR JHS 03,3.21102E+14
7,SBI GOVERDHAN,6,19-Jan-22,600,NCR AGC 04,3.21102E+14
8,S B I  LALITPUR,8,16-Aug-21,690,NCR JHS 03,3.21102E+14
9,SBI GOVERDHAN,8,19-Jan-22,980,NCR AGC 04,3.21102E+14
10,SBI GOVERDHAN,14,24-Jan-22,825,NCR AGC 04,3.21102E+14
11,S B I  LALITPUR,14,21-Aug-21,230,NCR JHS 03,3.21102E+14
12,S B I  LALITPUR,16,24-Aug-21,995,NCR JHS 03,3.21102E+14
13,SBI GOVERDHAN,16,27-Jan-22,700,NCR AGC 04,3.21102E+14
14,S B I  LALITPUR,18,24-Aug-21,885,NCR JHS 03,3.21102E+14
15,SBI GOVERDHAN,18,28-Jan-22,345,NCR AGC 04,3.21102E+14
16,S B I  LALITPUR,23,31-Aug-21,635,NCR JHS 03,3.21102E+14
17,SBI GOVERDHAN,23,02-Feb-22,435,NCR AGC 04,3.21102E+14
18,S B I  LALITPUR,24,31-Aug-21,515,NCR JHS 03,3.21102E+14
19,SBI GOVERDHAN,24,03-Feb-22,1885,NCR AGC 04,3.21102E+14
20,S B I  LALITPUR,30,06-Sep-21,560,NCR JHS 03,3.21102E+14
21,SBI GOVERDHAN,30,14-Feb-22,640,NCR AGC 04,3.21102E+14
22,SBI GOVERDHAN,32,14-Feb-22,345,NCR AGC 04,3.21102E+14
23,SBI TALBEHAT,32,06-Sep-21,520,NCR JHS 03,3.21102E+14
24,SBI GOVERDHAN,33,14-Feb-22,2320,NCR AGC 04,3.21102E+14
25,SBI TALBEHAT,33,08-Sep-21,835,NCR JHS 03,3.21102E+14
26,SBI GOVERDHAN,34,14-Feb-22,1405,NCR AGC 04,3.21102E+14
27,SBI TALBEHAT,34,08-Sep-21,430,NCR JHS 03,3.21102E+14
28,SBI TALBEHAT,35,09-Sep-21,210,NCR JHS 03,3.21102E+14
29,SBI GOVERDHAN,35,14-Feb-22,1035,NCR AGC 04,3.21102E+14
30,SBI TALBEHAT,36,10-Sep-21,155,NCR JHS 03,3.21102E+14
31,SBI GOVERDHAN,36,16-Feb-22,1880,NCR AGC 04,3.21102E+14
32,SBI GOVERDHAN,37,16-Feb-22,1155,NCR AGC 04,3.21102E+14
